print_id,card_name,collector_number,language,rarity,variant,id_product,category_id,expansion_external_id,directory_token,url,sha256,width,height,format
676221,Pharaoh's Servant,309-005,ja,common,rarity-common,726333,5,4885,309,https://product-images.s3.cardmarket.com/5/309/726333/726333.jpg,94932eec2b8b74377fedd4c851e9c0ce1c366856d500c095c070d8b46dcc20dd,247,356,JPEG
668074,Labyrinth of Nightmare,309-053,ja,common,rarity-common,726403,5,4885,309,https://product-images.s3.cardmarket.com/5/309/726403/726403.jpg,453c0d6c218dce9c3c638ddc4d119dbea4d3c7bf6bbebe634b0f7621cbfeee39,244,356,JPEG
702792,Pendulum Evolution,AGOV-JP047,ja,common,rarity-common,724177,5,5421,AGOV-JP,https://product-images.s3.cardmarket.com/5/AGOV-JP/724177/724177.jpg,b80cbf9c41daa5136eb87d2e9296b40bfd5fd505e424c91e0955ead1f4acb591,248,356,JPEG
679838,Concours de Cuisine (Culinary Confrontation),AGOV-JP064,ja,common,rarity-common,724194,5,5421,AGOV-JP,https://product-images.s3.cardmarket.com/5/AGOV-JP/724194/724194.jpg,acb4d8bd3405ed2ac6eef38166f191c218668e459e00fb32329e1ee09173ad8f,248,356,JPEG
697194,Azamina,ALIN-JP035,ja,rare,rarity-rare,809773,5,6025,ALIN-JP,https://product-images.s3.cardmarket.com/5/ALIN-JP/809773/809773.jpg,ecfd508753abc2ad9d0e2d901fc02a085e750cca6f2702ff3116a4501af6bf21,248,358,JPEG
698558,Regenesis,ALIN-JP059,ja,common,rarity-common,809818,5,6025,ALIN-JP,https://product-images.s3.cardmarket.com/5/ALIN-JP/809818/809818.jpg,732a354a21308fde0d66d6da351f34fe9fff2bedf06731fbbbb9805e5c4314b7,248,358,JPEG
669203,Remote Rebirth,CIBR-JP069,ja,common,rarity-common,681403,5,4640,CIBR-JP,https://product-images.s3.cardmarket.com/5/CIBR-JP/681403/681403.jpg,397d86a8b4a48aa42a7bdd315b4b0ac7cec9b557cc2ded1d16ac31e073e9ee11,246,356,JPEG
692104,World Chalice Guardragon Almarduke,DANE-JP032,ja,rare,rarity-rare,668020,5,4594,DANE-JP,https://product-images.s3.cardmarket.com/5/DANE-JP/668020/668020.jpg,fd74efeadf3e9cd9f0e14e83ee0dc4445392631d07be2453e29f34bcdfd16ab1,244,356,JPEG
695577,Pendulum Scale,DIFO-JP069,ja,common,rarity-common,654709,5,4519,DIFO-JP,https://product-images.s3.cardmarket.com/5/DIFO-JP/654709/654709.jpg,80b30f9552c05b51691ae5369c26f32b0bf2e42ec2d3157c22d116a808a76d5b,248,356,JPEG
674606,WAKE CUP! Mocha,DUAD-JP028,ja,prismaticsecret,rarity-prismaticsecret,823714,5,6129,DUAD-JP,https://product-images.s3.cardmarket.com/5/DUAD-JP/823714/823714.jpg,0d5924b3c78a976e26f11967986742a8b13077ab76bd163e223becb5cd52bca5,248,358,JPEG
697205,WAKE CUP! Mocha,DUAD-JP028,ja,shortprint,rarity-shortprint,823713,5,6129,DUAD-JP,https://product-images.s3.cardmarket.com/5/DUAD-JP/823713/823713.jpg,0c6893b6f267d3d2b2aa61df774ccde60025326fc022d4a0c975c8c84b94257d,248,358,JPEG
701851,THE Star Ham,DUAD-JP041,ja,common,rarity-common,823736,5,6129,DUAD-JP,https://product-images.s3.cardmarket.com/5/DUAD-JP/823736/823736.jpg,dcb062f8499408203d50ea8b7125e68dae2be55848bb92df2c9e28a2cdd80105,248,358,JPEG
677551,Return of the Duelist,DUAD-JP071,ja,common,rarity-common,823779,5,6129,DUAD-JP,https://product-images.s3.cardmarket.com/5/DUAD-JP/823779/823779.jpg,5bcb9a43798b00dd13ae87b67fbe3827441e0c0c0fc0d8b31bda2625bf5c815f,248,358,JPEG
693590,Shipping Error,DUAD-JP079,ja,common,rarity-common,823790,5,6129,DUAD-JP,https://product-images.s3.cardmarket.com/5/DUAD-JP/823790/823790.jpg,9e5def9e5e2798918970d31da331852a50814290d0ee0ca7598db7a311f6e1dc,248,358,JPEG
696350,Luster Dragon #2,SK2-008,ja,common,rarity-common,726441,5,4889,SK2,https://product-images.s3.cardmarket.com/5/SK2/726441/726441.jpg,ce40031dc38c5d66d3ff7c49210499699d68198cfa205c537487c8dde1d6c6d5,248,356,JPEG
686548,Steel Ogre Grotto #2,SK2-044,ja,common,rarity-common,726480,5,4889,SK2,https://product-images.s3.cardmarket.com/5/SK2/726480/726480.jpg,22913ddc338282cb1cf3b22d80b608b0326dc0c3d7eb11f6c33a227fb35e6e4c,248,356,JPEG
