idProduct,idMetacard,print_id,card_id,card_name,collector_number,canonical_variant,canonical_rarity,product_image_sha256,canonical_image_sha256,minimum_relative_assignment_gap
823673,448548,667517,68564,Dodododo Warrior,DUAD-JP004,rarity-super,super,12e4e9ec3b38d8837171aca839e74d796f9c5423dd2d2e37f6b9434842001c49,09672b9b527e7aa71362baea1b123e1128f5389d6cf4f4e4d8475859051b60ff,0.481934
823674,448548,695586,68564,Dodododo Warrior,DUAD-JP004,rarity-secret,secret,a7dfc7759cf24530a595057e21a0c622314e302b4ab059061052c68c5d5e9570,18bcae042a54c5fe4e7ae27cee4db541a5ff0d626445483faac9c570af582d19,0.481934
823675,448549,687619,60651,Lunalight Gold Leo,DUAD-JP005,rarity-common,common,2b96a7a463ac99ef2bfec4c5c2e0e3373df0752203fbe035750575801788b8f1,4cd0edc65728d8c5331db24e8da2db8fc79170eb4672cf21e47be6b218dd37c3,0.631432
823676,448549,696199,60651,Lunalight Gold Leo,DUAD-JP005,rarity-secret,secret,8cd60d95c3c125a8cec54b6a9b4dd52401976a5c561bc4e20ae982a7e98a0748,43d66e762f12a82c5b70aaf7d8f4d87e0021ae2ace45926ca3ce72b963b43c3f,0.631432
823678,448551,675121,68337,Linkslayer @Ignister,DUAD-JP007,rarity-common,common,6b6e03454a8500a332efa2266bd67f99bb53c019e5afdee4492e4f8c02a4f0b4,f7e8841de9249f415b7e5ebfe6f182bd0d99536948dc7972d43a33fb56f9be50,0.531306
823679,448551,677503,68337,Linkslayer @Ignister,DUAD-JP007,rarity-secret,secret,e2606f590ac5be9443a0b3be69aa3f4bb03e69869ddf68684dc30c2b61f170dd,3209c2726589b2712ddd6879102fed7ee92614b61c8686b04111d76f01bcf874,0.531306
823680,448552,685182,67186,Morgana the Witch of Eyes,DUAD-JP008,rarity-ultra,ultra,bc3d9514f1463438268ad36eda1299af34af8515cb3474b2e6b8a4820af8aa65,c684dbda382ddc09c6ab3fc5aa35cc2621c26b62ef4435f8c9665f4b6bf19cc,0.580411
823681,448552,698362,67186,Morgana the Witch of Eyes,DUAD-JP008,rarity-prismaticsecret,prismaticsecret,f5d2a1cf191a9a60cc2ac2ea73a8fa392eebefaa6aca3b5ce2d5fe6e21aa74e8,5ce21999642f425618a510bed31674d6013219d5e0a67c955f553b724bb0590a,0.580411
823682,448553,669605,67834,Serene Psychic Girl,DUAD-JP009,rarity-super,super,e57e6a6c5bd5a2733cc19a04e3d2b91c3da838178595676651fedda06357e67b,b20f7886dad6ca27e8f8e179e78d71dfdf7f95d380247099ebadce2a21b25dda,0.524695
823683,448553,684817,67834,Serene Psychic Girl,DUAD-JP009,rarity-secret,secret,34e9a892b8ecfaf984232656726467572998871131355327762a977c47b888ef,3e51d9e058dbad153af0dd7f9d2e637d79667564773984ef360910394081397e,0.524695
823684,448554,667588,68792,Psychic Blaster Mk-II,DUAD-JP010,rarity-rare,rare,722085a78bc6f5bf81244e6b759f729274c23a4020ea4dc514ae6fb80fbb7a25,9c50c62409bb5f765f8be96332448122ec8e9bf2c482c5b3fa62dc179da47f60,0.447895
823685,448554,702195,68792,Psychic Blaster Mk-II,DUAD-JP010,rarity-secret,secret,7921104f707b6230b4d1a6c18601aa38e1eb8ea68528d58f9e8da467e231872f,2d003f0be46a32a6da53e267574244a68bcf07ab3b90b1b23f0eb2e01e2ca37a,0.447895
823686,448555,672924,70239,Absolute Axon Kicker,DUAD-JP011,rarity-ultra,ultra,5ead78ac429d93971c97dc411529bb6ff3740e38a05983c580f636eb8d20e3d7,4f8cd9c2430ee693e7ab82fbe756c88f6601b1730caf478d53c84c0d562ea95e,0.634875
